split,qid,n_images,total_visual_tokens,per_image_tokens
test,1,1,266,266
test,2,1,108,108
test,3,1,1425,1425
test,4,1,256,256
test,5,1,192,192
test,6,1,160,160
test,7,1,704,704
test,8,1,224,224
test,9,1,120,120
test,10,1,16,16
test,11,1,192,192
test,12,1,192,192
test,13,0,0,
test,14,1,16,16
test,15,1,192,192
test,16,1,16,16
test,17,0,0,
test,18,0,0,
test,19,1,288,288
test,20,1,49,49
test,21,1,304,304
test,22,1,192,192
test,23,1,16,16
test,24,1,192,192
test,25,1,595,595
test,26,1,256,256
test,27,1,192,192
test,28,1,256,256
test,29,1,525,525
test,30,1,16,16
test,31,1,16,16
test,32,1,16,16
test,33,1,192,192
test,34,1,108,108
test,35,1,529,529
test,36,1,368,368
test,37,1,108,108
test,38,1,240,240
test,39,1,16,16
test,40,1,256,256
test,41,1,132,132
test,42,1,36,36
test,43,1,16,16
test,44,1,336,336
test,45,0,0,
test,46,1,266,266
test,47,1,540,540
test,48,1,16,16
test,49,1,256,256
test,50,1,256,256
test,51,1,108,108
test,52,1,54,54
test,53,1,144,144
test,54,1,84,84
test,55,1,192,192
test,56,1,208,208
test,57,1,16,16
test,58,0,0,
test,59,1,108,108
test,60,1,1406,1406
test,61,1,16,16
test,62,1,192,192
test,63,1,525,525
test,64,1,108,108
test,65,1,49,49
test,66,1,16,16
test,67,1,192,192
test,68,1,208,208
test,69,1,208,208
test,70,0,0,
test,71,1,192,192
test,72,1,16,16
test,73,1,16,16
test,74,1,42,42
test,75,1,630,630
test,76,1,16,16
test,77,1,16,16
test,78,1,231,231
test,79,1,192,192
test,80,1,108,108
test,81,1,108,108
test,82,1,132,132
test,83,1,160,160
test,84,1,16,16
test,85,1,120,120
test,86,1,504,504
test,87,1,192,192
test,88,1,740,740
test,89,1,988,988
test,90,1,36,36
test,91,1,54,54
test,92,1,16,16
test,93,1,108,108
test,94,1,42,42
test,95,1,16,16
test,96,1,108,108
test,97,1,96,96
test,98,1,16,16
test,99,1,900,900
test,100,1,192,192
test,101,1,16,16
test,102,1,132,132
test,103,1,850,850
test,104,1,224,224
test,105,1,224,224
test,106,1,192,192
test,107,0,0,
test,108,1,525,525
test,109,1,16,16
test,110,0,0,
test,111,1,16,16
test,112,1,120,120
test,113,1,1404,1404
test,114,1,16,16
test,115,1,525,525
test,116,1,192,192
test,117,1,108,108
test,118,1,16,16
test,119,1,108,108
test,120,1,108,108
test,121,1,16,16
test,122,1,192,192
test,123,1,1056,1056
test,124,1,16,16
test,125,1,625,625
test,126,1,192,192
test,127,1,525,525
test,128,1,108,108
test,129,1,192,192
test,130,1,24,24
test,131,1,108,108
test,132,1,192,192
test,133,1,16,16
test,134,1,12,12
test,135,1,192,192
test,136,1,144,144
test,137,1,16,16
test,138,1,256,256
test,139,1,54,54
test,140,1,432,432
test,141,1,96,96
test,142,1,132,132
test,143,1,286,286
test,144,1,192,192
test,145,1,16,16
test,146,1,192,192
test,147,1,192,192
test,148,1,108,108
test,149,1,24,24
test,150,1,108,108
test,151,1,132,132
test,152,1,120,120
test,153,1,961,961
test,154,1,16,16
test,155,1,120,120
test,156,1,192,192
test,157,1,16,16
test,158,0,0,
test,159,1,1406,1406
test,160,1,224,224
test,161,1,16,16
test,162,1,108,108
test,163,1,192,192
test,164,0,0,
test,165,1,192,192
test,166,1,192,192
test,167,1,240,240
test,168,1,16,16
test,169,1,108,108
test,170,1,108,108
test,171,1,108,108
test,172,1,16,16
test,173,1,16,16
test,174,1,192,192
test,175,1,192,192
test,176,1,665,665
test,177,1,252,252
test,178,1,432,432
test,179,1,192,192
test,180,1,16,16
test,181,1,16,16
test,182,1,16,16
test,183,1,30,30
test,184,1,108,108
test,185,1,120,120
test,186,1,120,120
test,187,1,208,208
test,188,1,108,108
test,189,1,144,144
test,190,1,192,192
test,191,1,120,120
test,192,1,24,24
test,193,1,525,525
test,194,1,120,120
test,195,1,208,208
test,196,1,266,266
test,197,1,238,238
test,198,1,176,176
test,199,0,0,
test,200,1,560,560
test,201,1,16,16
test,202,1,1156,1156
test,203,1,25,25
test,204,1,1431,1431
test,205,1,108,108
test,206,1,120,120
test,207,1,16,16
test,208,1,16,16
test,209,1,132,132
test,210,1,16,16
test,211,1,120,120
test,212,1,304,304
test,213,0,0,
test,214,1,779,779
test,215,1,560,560
test,216,1,16,16
test,217,1,16,16
test,218,1,40,40
test,219,1,96,96
test,220,1,16,16
test,221,1,400,400
test,222,1,120,120
test,223,1,16,16
test,224,1,108,108
test,225,1,16,16
test,226,1,16,16
test,227,1,108,108
test,228,1,96,96
test,229,1,16,16
test,230,1,255,255
test,231,1,950,950
test,232,1,108,108
test,233,1,108,108
test,234,1,108,108
test,235,0,0,
test,236,1,16,16
test,237,1,266,266
test,238,1,525,525
test,239,1,280,280
test,240,1,16,16
test,241,1,16,16
test,242,1,190,190
test,243,1,168,168
test,244,1,120,120
test,245,1,16,16
test,246,1,16,16
test,247,1,1160,1160
test,248,1,646,646
test,249,1,256,256
test,250,1,144,144
test,251,1,192,192
test,252,1,192,192
test,253,1,256,256
test,254,1,16,16
test,255,5,448,144|80|80|64|80
test,256,1,120,120
test,257,0,0,
test,258,0,0,
test,259,1,16,16
test,260,1,108,108
test,261,1,192,192
test,262,1,1420,1420
test,263,1,192,192
test,264,1,630,630
test,265,1,16,16
test,266,1,1350,1350
test,267,1,308,308
test,268,1,108,108
test,269,1,558,558
test,270,1,756,756
test,271,1,160,160
test,272,1,280,280
test,273,1,192,192
test,274,1,144,144
test,275,1,72,72
test,276,1,256,256
test,277,1,108,108
test,278,1,16,16
test,279,1,16,16
test,280,1,264,264
test,281,1,192,192
test,282,0,0,
test,283,1,266,266
test,284,1,16,16
test,285,1,16,16
test,286,1,396,396
test,287,1,108,108
test,288,1,16,16
test,289,1,72,72
test,290,1,192,192
test,291,1,120,120
test,292,1,16,16
test,293,1,192,192
test,294,1,192,192
test,295,1,16,16
test,296,1,192,192
test,297,1,1400,1400
test,298,1,192,192
test,299,1,120,120
test,300,1,108,108
test,301,1,108,108
test,302,1,42,42
test,303,1,108,108
test,304,0,0,
test,305,1,464,464
test,306,1,108,108
test,307,1,16,16
test,308,0,0,
test,309,0,0,
test,310,1,1435,1435
test,311,1,108,108
test,312,1,144,144
test,313,1,16,16
test,314,1,132,132
test,315,1,770,770
test,316,1,280,280
test,317,1,108,108
test,318,1,16,16
test,319,1,16,16
test,320,1,54,54
test,321,0,0,
test,322,1,16,16
test,323,1,192,192
test,324,1,16,16
test,325,1,192,192
test,326,0,0,
test,327,1,16,16
test,328,1,81,81
test,329,1,16,16
test,330,0,0,
test,331,1,16,16
test,332,1,16,16
test,333,1,16,16
test,334,1,192,192
test,335,1,280,280
test,336,1,16,16
test,337,1,1435,1435
test,338,1,16,16
test,339,1,16,16
test,340,1,16,16
test,341,0,0,
test,342,1,108,108
test,343,1,189,189
test,344,1,16,16
test,345,1,192,192
test,346,1,40,40
test,347,1,192,192
test,348,1,35,35
test,349,1,108,108
test,350,1,192,192
test,351,1,525,525
test,352,1,180,180
test,353,1,108,108
test,354,1,108,108
test,355,1,16,16
test,356,1,525,525
test,357,1,56,56
test,358,1,16,16
test,359,1,108,108
test,360,1,16,16
test,361,1,16,16
test,362,1,16,16
test,363,1,96,96
test,364,1,108,108
test,365,1,250,250
test,366,1,609,609
test,367,1,16,16
test,368,1,144,144
test,369,1,770,770
test,370,1,289,289
test,371,1,104,104
test,372,1,16,16
test,373,1,16,16
test,374,1,256,256
test,375,1,16,16
test,376,1,16,16
test,377,1,20,20
test,378,1,108,108
test,379,1,16,16
test,380,1,16,16
test,381,1,49,49
test,382,1,192,192
test,383,1,192,192
test,384,1,192,192
test,385,1,192,192
test,386,1,108,108
test,387,1,108,108
test,388,1,540,540
test,389,1,609,609
test,390,0,0,
test,391,1,16,16
test,392,0,0,
test,393,1,132,132
test,394,1,16,16
test,395,1,16,16
test,396,1,96,96
test,397,1,160,160
test,398,1,16,16
test,399,1,192,192
test,400,1,560,560
test,401,1,16,16
test,402,1,108,108
test,403,1,120,120
test,404,1,192,192
test,405,1,144,144
test,406,1,16,16
test,407,1,1247,1247
test,408,1,468,468
test,409,1,16,16
test,410,1,819,819
test,411,1,128,128
test,412,1,132,132
test,413,1,192,192
test,414,1,192,192
test,415,1,242,242
test,416,1,16,16
test,417,1,96,96
test,418,1,16,16
test,419,1,224,224
test,420,1,256,256
test,421,1,224,224
test,422,1,16,16
test,423,1,16,16
test,424,0,0,
test,425,1,120,120
test,426,0,0,
test,427,1,192,192
test,428,1,192,192
test,429,1,160,160
test,430,1,108,108
test,431,1,160,160
test,432,1,108,108
test,433,1,1400,1400
test,434,1,16,16
test,435,1,289,289
test,436,1,192,192
test,437,1,440,440
test,438,1,16,16
test,439,1,96,96
test,440,1,304,304
test,441,1,560,560
test,442,1,16,16
test,443,1,208,208
test,444,1,420,420
test,445,1,132,132
test,446,0,0,
test,447,0,0,
test,448,1,16,16
test,449,1,16,16
test,450,1,525,525
test,451,1,525,525
test,452,1,16,16
test,453,0,0,
test,454,1,16,16
test,455,1,16,16
test,456,1,16,16
test,457,1,176,176
test,458,1,96,96
test,459,0,0,
test,460,1,108,108
test,461,1,16,16
test,462,1,144,144
test,463,1,132,132
test,464,1,320,320
test,465,1,192,192
test,466,1,256,256
test,467,1,576,576
test,468,1,108,108
test,469,1,16,16
test,470,1,16,16
test,471,1,330,330
test,472,1,96,96
test,473,1,108,108
test,474,1,192,192
test,475,1,192,192
test,476,1,16,16
test,477,1,16,16
test,478,1,144,144
test,479,1,192,192
test,480,1,96,96
test,481,1,132,132
test,482,1,16,16
test,483,1,192,192
test,484,1,234,234
test,485,1,192,192
test,486,1,740,740
test,487,1,16,16
test,488,1,108,108
test,489,1,16,16
test,490,1,256,256
test,491,1,16,16
test,492,1,462,462
test,493,1,192,192
test,494,1,992,992
test,495,1,24,24
test,496,1,192,192
test,497,1,224,224
test,498,1,192,192
test,499,1,525,525
test,500,1,192,192
test,501,1,1404,1404
test,502,1,56,56
test,503,1,96,96
test,504,1,144,144
test,505,1,961,961
test,506,1,90,90
test,507,1,540,540
test,508,1,266,266
test,509,1,525,525
test,510,1,160,160
test,511,1,525,525
test,512,1,90,90
test,513,1,192,192
test,514,1,108,108
test,515,1,1430,1430
test,516,1,16,16
test,517,1,665,665
test,518,1,280,280
test,519,1,16,16
test,520,1,49,49
test,521,1,609,609
test,522,1,16,16
test,523,1,256,256
test,524,1,16,16
test,525,1,966,966
test,526,1,208,208
test,527,1,132,132
test,528,1,16,16
test,529,1,16,16
test,530,1,108,108
test,531,1,16,16
test,532,1,525,525
test,533,1,1440,1440
test,534,1,16,16
test,535,1,120,120
test,536,1,20,20
test,537,1,770,770
test,538,1,192,192
test,539,1,16,16
test,540,1,16,16
test,541,1,132,132
test,542,1,16,16
test,543,1,108,108
test,544,1,16,16
test,545,1,280,280
test,546,1,144,144
test,547,1,192,192
test,548,1,192,192
test,549,1,675,675
test,550,1,16,16
test,551,1,108,108
test,552,1,525,525
test,553,1,16,16
test,554,1,735,735
test,555,0,0,
test,556,1,16,16
test,557,1,192,192
test,558,1,192,192
test,559,1,108,108
test,560,1,192,192
test,561,0,0,
test,562,1,120,120
test,563,1,192,192
test,564,1,108,108
test,565,1,560,560
test,566,1,280,280
test,567,1,108,108
test,568,1,208,208
test,569,1,144,144
test,570,1,12,12
test,571,1,208,208
test,572,1,16,16
test,573,1,192,192
test,574,1,192,192
test,575,0,0,
test,576,1,108,108
test,577,1,108,108
test,578,1,144,144
test,579,1,108,108
test,580,1,540,540
test,581,1,144,144
test,582,1,108,108
test,583,1,192,192
test,584,1,192,192
test,585,1,42,42
test,586,1,208,208
test,587,1,525,525
test,588,1,272,272
test,589,1,8,8
test,590,1,16,16
test,591,1,108,108
test,592,1,192,192
test,593,1,192,192
test,594,1,104,104
test,595,1,16,16
test,596,1,84,84
test,597,1,16,16
test,598,1,104,104
test,599,1,735,735
test,600,1,665,665
test,601,1,108,108
test,602,1,84,84
test,603,3,3864,1288|1288|1288
test,604,1,108,108
test,605,1,16,16
test,606,1,192,192
test,607,1,16,16
test,608,1,108,108
test,609,1,16,16
test,610,1,40,40
test,611,1,16,16
test,612,1,108,108
test,613,1,256,256
test,614,1,16,16
test,615,1,16,16
test,616,1,16,16
test,617,1,120,120
test,618,1,16,16
test,619,1,192,192
test,620,1,192,192
test,621,1,16,16
test,622,1,16,16
test,623,1,216,216
test,624,1,1408,1408
test,625,1,256,256
test,626,1,120,120
test,627,1,224,224
test,628,1,525,525
test,629,1,132,132
test,630,2,368,192|176
test,631,1,256,256
test,632,1,16,16
test,633,1,1428,1428
test,634,0,0,
test,635,1,108,108
test,636,1,108,108
test,637,1,96,96
test,638,1,748,748
test,639,1,192,192
test,640,1,525,525
test,641,1,16,16
test,642,0,0,
test,643,1,16,16
test,644,0,0,
test,645,1,16,16
test,646,1,192,192
test,647,0,0,
test,648,1,1424,1424
test,649,1,16,16
test,650,1,16,16
test,651,1,144,144
test,652,1,510,510
test,653,1,192,192
test,654,1,168,168
test,655,1,40,40
test,656,1,120,120
test,657,1,16,16
test,658,1,16,16
test,659,1,108,108
test,660,1,16,16
test,661,1,16,16
test,662,1,48,48
test,663,1,16,16
test,664,1,120,120
test,665,1,108,108
