id,answer,evidence_page_number
q_0016,札幌医科大学付属病院,[17]
q_0017,"90,990ℓ",[12]
q_0018,4点,[4]
q_0019,8時8分,"[1,2]"
q_0020,"[""1"", ""3""]",[15]
q_0021,12,"[33,45,98]"
q_0022,14.6万人,"[11,16]"
q_0023,最も低い評価に当たります。,[11]
q_0024,"[""京都"", ""横浜"", ""横浜""]",[10]
q_0025,埼玉県,[5]
q_0026,"[""個人関連情報の提供における確認記録義務"", ""容易照合に関する考え方"", ""タグを通じて他社が直接取得することについての考え方"", ""広告配信の反応データが“委託”に伴い提供できるケース""]",[8]
q_0027,2,"[5,10]"
q_0028,8年10か月,"[3,4]"
q_0029,13年,[1]
q_0030,"31,690円","[20,22]"
q_0031,"[""記載なし"", ""記載なし""]",[1]
q_0032,A20は浅草線、I27は三田線、S21は新宿線、E38は大江戸線に対応している。,"[1,2]"
q_0033,"2,771","[4,5]"
q_0034,"[""血色素量[ヘモグロビン値]"", ""赤血球数""]",[16]
q_0035,"[""砒素及びその化合物""]",[4]
q_0036,理科です。,"[2,3]"
q_0037,宮城県江ノ島,[3]
q_0038,R&D課長,"[5,6,7]"
q_0039,91分,[6]
q_0040,町田処理区に属する。,[18]
q_0041,[大江戸線],[2]
q_0042,熊本市です。,"[3,5]"
q_0043,"[""町田郵便局"", ""鶴川郵便局"", ""町田西郵便局"", ""つくし野コミュニティセンター""]",[34]
q_0044,合理化手段型,[16]
q_0045,"[""被災海岸林"", ""被災耕作地（湿性草地）"", ""被災市街地""]",[32]
q_0046,"8,400円",[2]
q_0047,提示された資料には和歌山県のデータが含まれていないため、回答できません。,"[36,62,56,41,43,34,39,38,58,64]"
q_0048,"[""HDLコレステロール"", ""血色素量[ヘモグロビン値]""]",[14]
q_0049,健康チェック測定会,[5]
q_0050,24.5ポイント,"[23,28]"
q_0051,"[""能登半島"", ""佐渡島"", ""別寒辺牛川集水域""]","[12,14]"
q_0052,"70,970人",[4]
q_0053,1.5倍,[6]
q_0054,"[""Paddy field"", ""Dry crop field or grassland""]",[1]
q_0055,ヴェルサイユの宮廷庭師,[5]
q_0056,"[""OS"", ""ソフトウェア""]",[1]
q_0057,最も改善幅が大きい産業区分は「鉱業」です。,[7]
q_0058,道路冠水相当として定義されています。,[1]
q_0059,11861円,"[1,10,11]"
q_0060,"[""情報提供"", ""結果通知表を出力・送付""]","[5,18]"
q_0061,卵,[4]
q_0062,"[""ルドヴィーク"", ""コストカ""]","[5,11]"
q_0063,"[""教育環境・生活環境づくり"", ""放課後活動の拠点づくり"", ""市民生活の拠点づくり""]",[17]
q_0064,竹村俊則,"[14,16]"
q_0065,砺波市,[5]
q_0066,千葉県,[4]
q_0067,"[""鳥"", ""ニワトリ"", ""アヒル""]",[1]
q_0068,"[""住宅金融公庫"", ""道路公団"", ""中小公庫"", ""国民公庫"", ""開銀""]","[19,20]"
q_0069,量子イノベーションパーク,[1]
q_0070,脇野沢地区,[4]
q_0071,"[""広川町"", ""筑後市""]",[26]
q_0072,38人,"[4,7]"
q_0073,504日,"[1,2]"
q_0074,千葉県,"[4,5]"
q_0075,20%,"[11,13,14]"
q_0076,特定国有財産整備特別会計,"[16,17]"
q_0077,ICT利活用（高）かつイノベーション実現数（高）の区分,[3]
q_0078,208,[3]
q_0079,"[""ドイツ"", ""日本"", ""中国""]","[17,21]"
q_0080,"[""地方公共団体工事費負担金収入"", ""受託工事費納付金収入"", ""附帯工事費負担金収入"", ""手数料収入""]","[11,12]"
q_0081,図面右下の「診察室」の位置に描かれています。,[14]
q_0082,算出不能（資料内に「M1 搭載の Mac」などの該当する記述がないため）,[17]
q_0083,"[""吉浜"", ""鍛冶屋"", ""門川"", ""堀之内"", ""宮下"", ""宮上""]",[58]
q_0084,丸山小水力発電設備,[14]
q_0085,0.28 mg/L,"[2,16]"
q_0086,"[""水"", ""お金"", ""ラジオ"", ""食料品（食べ物）"", ""かいちゅう電灯（懐中電灯）"", ""救急用品（救急セット）""]","[10,14]"
q_0087,◯◯町,[5]
q_0088,4月の訪問回数が最も多い立ち寄り先は左近山ショッピングセンター南側広場です。,[5]
q_0089,御前崎,"[3,4]"
q_0090,$\frac{n_{ij}}{l_{ij}} - \frac{N_{ij}}{L_{ij}}$,"[10,14]"
q_0091,171千円,[21]
q_0092,設備投資,"[4,10,14]"
q_0093,0.0049,"[40,41]"
q_0094,食事（食事の管理、菓子作り）,[47]
q_0095,0.014km,[17]
q_0096,6.7パーセントポイント,[31]
q_0097,博多・新八代間,"[7,8]"
q_0098,"[""英語"", ""16.2""]",[46]
q_0099,"[""法第二十六条第一項各号に掲げる事項"", ""法第二十三条第四項の規定により公表されている旨""]","[10,14]"
q_0100,311,"[2,3,7,8,11,18]"
q_0101,物質 個体,[2]
q_0102,3.9兆円,"[23,25]"
q_0103,橙色（オレンジ色）,"[3,14,27]"
q_0104,"[""高さ"", ""面積""]","[16,17]"
q_0105,A,[46]
q_0106,緑色の点です。,[22]
q_0107,"[""洗浄剤を手に取る"", ""洗浄剤を十分な流水でよく洗い流す""]",[1]
q_0108,鶴ヶ峰駅です。,"[1,3]"
q_0109,"[""トリクロロ酢酸"", ""砒素及びその化合物""]",[6]
q_0110,"66,406円","[13,15]"
q_0111,基準値に対する検査結果の割合が最も大きいのは「砒素及びその化合物」です。,[4]
q_0112,給与所得者,[8]
q_0113,"[""新山"", ""自由学園南""]","[4,5]"
q_0114,測量設計委託料,[3]
q_0115,"[""償還金収入"", ""附帯工事費負担金収入"", ""受託工事納付金収入"", ""前年度剰余金"", ""雑収入""]",[6]
q_0116,サービス業（他に分類されないもの）,[42]
q_0117,最も値が大きいのは果樹係です。,"[5,28]"
q_0118,"[""なし""]","[2,13,14,18,24,26]"
q_0119,選択された割合の増え方が最も大きい項目は「人口流出」です。,[21]
q_0120,10か月,[5]
q_0121,"[""足なし網"", ""鮭夜網""]",[7]
q_0122,87/64倍,"[2,7]"
q_0123,ガイドライン等です。,[1]
q_0124,5.8℃,[16]
q_0125,記載なし,"[6,1,41,12,20,19,34,35]"
q_0126,電気機械,"[2,18]"
q_0127,"[""県の管理的地位（課長相当職以上）に占める女性職員の割合（知事部局等）"", ""県の管理的地位（課長相当職以上）に占める女性職員の割合（教育委員会）""]",[17]
q_0128,100%,"[4,8,10,11,12,13,14,15,19]"
q_0129,インターフェロン又はペグインターフェロン単剤,[1]
q_0130,御池中区,"[2,3,4,5,9,10]"
q_0131,2019年,"[6,13,14]"
q_0132,"[""大宮町""]","[6,8,17]"
q_0133,"[""ため池はん濫"", ""土砂災害""]","[1,2]"
q_0134,"[""A社"", ""B社""]","[18,21]"
q_0135,"[""代表者の氏名"", ""団体の氏名又は名称""]",[28]
q_0136,3人,"[5,6]"
q_0137,3年目です。,[13]
q_0138,"[""飲料水"", ""毛布"", ""タオル""]",[5]
q_0139,最も差が大きくなるのは瑞梅寺川で、差は8.9kmです。,"[8,10]"
q_0140,3km,[1]
q_0141,0.0585 GB/分,[7]
q_0142,英国,"[4,9]"
q_0143,紫 LED,"[1,5]"
q_0144,農林水産業です。,"[4,5]"
q_0145,入院勧告が解除された後,[6]
q_0146,フランスです。,[4]
q_0147,約26%,"[1,35]"
q_0148,42.18%,"[11,13]"
q_0149,地震にあったら、まず身の安全,"[1,2]"
q_0150,"[""大きな外科手術（全身麻酔での手術）"", ""献血""]",[3]
q_0151,日高町と太地町です。,"[15,16]"
q_0152,0m以上20.0m未満の範囲です。,[1]
q_0153,"本市への観光入込客数（年間）で、差は1,314,100人。","[12,13]"
