id,answer,evidence_page_number
q_0016,札幌医科大学付属病院です。,[17]
q_0017,90990ℓ,[10]
q_0018,4点,[4]
q_0019,8:08,[2]
q_0020,"[""1"", ""3""]",[15]
q_0021,3,"[32,44,99]"
q_0022,14.6万人,"[12,16,17]"
q_0023,1（低い）,"[10,11]"
q_0024,"[""Indonesia""]","[10,15,17]"
q_0025,埼玉県,[5]
q_0026,"[""個人関連情報の提供における確認記録義務"", ""容易照合に関する考え方"", ""タグを通じて他社が直接取得することについての考え方"", ""広告配信の反応データが“委託”に伴い提供できるケース""]",[8]
q_0027,3,[5]
q_0028,8 年 10 ヶ月,"[3,5]"
q_0029,13年,[1]
q_0030,"74,167円","[20,22]"
q_0031,"[""資料に該当するデータがありません""]",[4]
q_0032,都営浅草線,"[1,2]"
q_0033,2771,"[4,5]"
q_0034,"[""血色素量""]",[15]
q_0035,"[""塩素酸""]","[4,5,6]"
q_0036,理科,[2]
q_0037,宮城県江ノ島,[3]
q_0038,ミドル（課長）,"[6,7]"
q_0039,91分,[6]
q_0040,鶴川処理区,[18]
q_0041,都営大江戸線,[2]
q_0042,熊本市,"[4,3]"
q_0043,"[""町田郵便局""]","[34,35]"
q_0044,合理化手段型,[16]
q_0045,"[""干潟と砂浜"", ""塩性湿地"", ""被災海岸林、被災耕作地（湿性草地）、被災市街地""]","[32,33]"
q_0046,"8,400円",[2]
q_0047,すさみ町,[44]
q_0048,"[""HDLコレステロール"", ""血色量（ヘモグロビン値）""]",[14]
q_0049,健康チェック測定会,[5]
q_0050,24.5 ポイント,"[23,28]"
q_0051,"[""能登半岛"", ""佐渡島"", ""利根川"", ""石西礁湖""]","[12,14]"
q_0052,"70,970人",[4]
q_0053,1.5倍,[6]
q_0054,"[""Paddy field"", ""Settlement and urban area""]",[1]
q_0055,該当する作品はありません,[5]
q_0056,"[""OS やソフトウェア"", ""ウイルス定義ファイル""]",[1]
q_0057,鉱業,[7]
q_0058,道路冠水相当,[1]
q_0059,"11,861 円","[1,10]"
q_0060,"[""判定"", ""結果通知表を出力・送付""]","[4,17]"
q_0061,卵,[4]
q_0062,"[""コストカ"", ""ルドヴィーク""]","[5,6,10,11,12]"
q_0063,"[""教育環境・生活环境づくり"", ""放課後活動の拠点づくり"", ""市民生活の拠点づくり""]",[12]
q_0064,竹村俊則,[15]
q_0065,砺波市,"[3,4]"
q_0066,千葉県,[4]
q_0067,"[""鳥"", ""ニワトリ"", ""アヒル""]",[1]
q_0068,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6""]","[20,21]"
q_0069,量子イノベーションパーク,[1]
q_0070,脇野沢地区,[4]
q_0071,"[""該当する自治体はいません""]","[23,24]"
q_0072,全戸から1人ずつ,[4]
q_0073,504日,"[1,2]"
q_0074,千葉県,"[4,5]"
q_0075,20%,"[11,13,14]"
q_0076,特定国有的産整備特別会計,"[15,16]"
q_0077,イノベーション実現数が高く、ICT利活用が高い区分,[3]
q_0078,208,[5]
q_0079,"[""中国""]","[17,21]"
q_0080,"[""地方公共団体工事費負担金収入"", ""受託工事費納付金収入"", ""手数料収入""]","[173,174]"
q_0081,図面上の診察室,[14]
q_0082,2,"[17,32,49]"
q_0083,"[""久野村"", ""穴部村"", ""飯沢村"", ""苅野本郷"", ""苅野一色村"", ""堀之内村""]","[141,142]"
q_0084,丸山小水力発電設備,[13]
q_0085,0.50 mg/L,"[1,12]"
q_0086,"[""食料"", ""水"", ""飲料類""]","[11,15]"
q_0087,○○町,"[4,5]"
q_0088,左近山ショッピングセンター南側広場,[5]
